
2024/07/01 (05:16:47) | ===> btop++ v.1.3.2
2024/07/01 (05:16:47) | ERROR: Stall in Runner thread, restarting!
2024/07/01 (06:07:16) | ERROR: Stall in Runner thread, restarting!
2024/07/01 (06:18:03) | ERROR: Stall in Runner thread, restarting!
2024/07/01 (07:19:21) | ERROR: Stall in Runner thread, restarting!
2024/07/01 (07:22:50) | ERROR: Stall in Runner thread, restarting!

2024/07/29 (18:21:23) | ===> btop++ v.1.3.2
2024/07/29 (18:21:23) | ERROR: Stall in Runner thread, restarting!

2024/11/16 (12:42:04) | ===> btop++ v.1.4.0
2024/11/16 (12:42:04) | ERROR: failed getting network interfaces
